ID	Assessment	Class	IUCN_Group_Number	IUCN_Group	IUCN_Subgroup_Number	IUCN_Subgroup	Scope	Severity	Irreversibility	Past_criticality	Current_criticality	Trend_of_change	Future_criticality	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_relevance_(value)	Strategic_relevance_(Rank)	Manageability	Knowledge	Rank	Participant_Knowledge_Avg	Participant_Knowledge_Med	Participant_Knowledge_AvgxHDI	Participant_Knowledge_MedxHDI	Year
22	CR-MAN	Stress	9	Species_specific_key_attributes	9.1	Changed_physiology_and_behavior_of_individuals	2	3	4	1	4	3	4	NA	NA	NA	11	4	3	2	2	2.00	2	1.55	1.55	2011
23	CR-MAN	Stress	9	Species_specific_key_attributes	9.1	Changed_physiology_and_behavior_of_individuals	4	4	4	1	4	3	4	NA	NA	NA	11	4	2	2	2	2.00	2	1.55	1.55	2011
24	CR-MAN	Stress	9	Species_specific_key_attributes	9.3	Changed_habitat_quantity_and_quality_(including_abiotic_and_biotic_habitat_components)	4	4	4	1	4	3	4	NA	NA	NA	11	4	4	3	2	2.00	2	1.55	1.55	2011
25	CR-MAN	Stress	8	Network	8.3	Changed_structure_and_composition_of_communities	2	3	4	1	4	3	4	NA	NA	NA	11	4	4	2	2	2.00	2	1.55	1.55	2011
26	CR-MAN	Stress	3	Hydrosphere	3.2	Changed_hydrologic_regimes	4	4	4	1	4	3	4	NA	NA	NA	11	4	4	2	2	2.00	2	1.55	1.55	2011
27	CR-MAN	Stress	9	Species_specific_key_attributes	9.1	Changed_physiology_and_behavior_of_individuals	4	4	4	1	4	3	4	NA	NA	NA	11	4	2	2	2	2.00	2	1.55	1.55	2011
28	CR-MAN	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	4	4	4	1	4	4	4	NA	NA	NA	12	4	4	2	1	2.00	2	1.55	1.55	2011
29	CR-MAN	Threat	11	Climate_change_and_severe_weather	11.4	Storms_and_flooding	3	3	4	1	4	4	4	4	4	4	16	4	3	1	1	2.00	2	1.55	1.55	2011
30	CR-MAN	Threat	11	Climate_change_and_severe_weather	11.4	Storms_and_flooding	4	4	4	2	4	3	4	4	4	4	15	4	4	2	2	2.00	2	1.55	1.55	2011
31	CR-MAN	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	4	4	4	2	4	3	4	4	4	4	15	4	4	2	2	2.00	2	1.55	1.55	2011
32	CR-MAN	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	4	4	4	2	4	3	4	4	4	4	15	4	4	2	2	2.00	2	1.55	1.55	2011
33	CR-MAN	Threat	11	Climate_change_and_severe_weather	11.4	Storms_and_flooding	4	3	4	1	4	3	4	4	4	4	15	4	4	1	2	2.00	2	1.55	1.55	2011
34	CR-MAN	Threat	9	Pollution	9.3	Agricultural_and_forestry_effluents	4	4	4	1	4	3	4	4	4	4	15	4	3	3	2	2.00	2	1.55	1.55	2011
35	CR-MAN	Threat	8	Invasive_and_other_problematic_species_and_genes	8.1	Invasive_non-native/alien_species	3	3	3	1	3	3	4	4	4	4	14	4	3	3	3	2.00	2	1.55	1.55	2011
36	CR-MAN	Threat	5	Biological_resource_use	5.4	Fishing_and_harvesting_aquatic_resources	2	4	3	1	3	3	4	4	4	4	14	4	1	3	3	2.00	2	1.55	1.55	2011
37	CR-MAN	Threat	6	Human_intrusions_and_disturbance	6.1	Recreational_activities	3	3	2	1	3	3	4	4	4	4	14	4	1	1	3	2.00	2	1.55	1.55	2011
38	CR-MAN	Threat	7	Natural_system_modifications	7.2	Dams_and_water_management/use	2	2	3	1	3	3	4	4	4	4	14	4	1	1	3	2.00	2	1.55	1.55	2011
39	CR-MAN	Threat	5	Biological_resource_use	5.4	Fishing_and_harvesting_aquatic_resources	2	4	4	3	4	2	4	4	4	4	14	4	1	1	3	2.00	2	1.55	1.55	2011
40	CR-MAN	Threat	7	Natural_system_modifications	7.2	Dams_and_water_management/use	2	2	3	1	3	3	4	4	4	4	14	4	1	1	3	2.00	2	1.55	1.55	2011
41	CR-MAN	Threat	9	Pollution	9.4	Garbage_and_solid_waste	3	4	2	1	3	3	4	4	4	4	14	4	1	3	3	2.00	2	1.55	1.55	2011
42	CR-MAN	Threat	9	Pollution	9.6	Excess_energy	2	4	4	1	4	3	4	3	3	3	14	4	4	1	3	2.00	2	1.55	1.55	2011
43	CR-MAN	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	4	4	4	1	4	1	4	4	4	4	13	3	4	2	4	2.00	2	1.55	1.55	2011
44	CR-MAN	Threat	9	Pollution	9.6	Excess_energy	3	2	2	1	3	3	4	3	2	3	13	3	1	3	4	2.00	2	1.55	1.55	2011
45	CR-MAN	Threat	5	Biological_resource_use	5.1	Hunting_and_collecting_terrestrial_animals	2	2	3	1	3	3	2	4	4	4	12	3	1	1	5	2.00	2	1.55	1.55	2011
46	CR-MAN	Threat	5	Biological_resource_use	5.2	Gathering_terrestrial_plants	2	2	3	1	3	3	2	4	4	4	12	3	1	1	5	2.00	2	1.55	1.55	2011
47	CR-MAN	Threat	5	Biological_resource_use	5.3	Logging_and_wood_harvesting	2	2	3	1	3	3	2	4	4	4	12	3	1	1	5	2.00	2	1.55	1.55	2011
48	CR-MAN	Threat	9	Pollution	9.1	Household_sewage_and_urban_waste_water	4	4	3	1	4	2	3	3	3	3	12	3	1	3	5	2.00	2	1.55	1.55	2011
49	CR-MAN	Threat	9	Pollution	9.3	Agricultural_and_forestry_effluents	4	4	3	1	4	2	3	3	3	3	12	3	1	3	5	2.00	2	1.55	1.55	2011
50	CR-MAN	Threat	6	Human_intrusions_and_disturbance	6.1	Recreational_activities	1	3	3	1	3	3	4	2	2	2	12	3	1	3	5	2.00	2	1.55	1.55	2011
51	CR-MAN	Threat	6	Human_intrusions_and_disturbance	6.3	Work_and_other_activities	1	1	2	1	2	3	4	2	2	2	11	3	1	3	6	2.00	2	1.55	1.55	2011
52	CR-MAN	Threat	6	Human_intrusions_and_disturbance	6.1	Recreational_activities	1	2	2	1	2	3	4	2	2	2	11	3	1	3	6	2.00	2	1.55	1.55	2011
53	CR-MAN	Threat	5	Biological_resource_use	5.4	Fishing_and_harvesting_aquatic_resources	2	4	3	3	3	2	1	4	4	4	10	2	1	3	7	2.00	2	1.55	1.55	2011
54	CR-MAN	Threat	5	Biological_resource_use	5.3	Logging_and_wood_harvesting	3	3	3	3	2	1	2	3	2	3	8	2	1	1	9	2.00	2	1.55	1.55	2011
55	CR-MAN	Threat	9	Pollution	9.3	Agricultural_and_forestry_effluents	3	3	4	4	4	2	1	3	4	4	11	3	3	3	6	2.00	2	1.55	1.55	2011
56	CR-MAN	Factor	5	Institutional_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	3	3	1	1	NA	12	2.00	2	1.55	1.55	2011
57	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	4	4	1	1	NA	11	2.00	2	1.55	1.55	2011
58	CR-MAN	Factor	4	Infrastructure-related_factors	NA	NA	NA	NA	NA	NA	NA	NA	4	1	4	3	7	1	1	1	10	2.00	2	1.55	1.55	2011
59	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	3	3	3	4	3	1	1	1	2	2	7	1	1	1	10	2.00	2	1.55	1.55	2011
60	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	3	2	1	3	1	1	1	4	3	8	2	2	3	9	2.00	2	1.55	1.55	2011
61	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	3	2	1	3	1	1	1	4	3	8	2	2	3	9	2.00	2	1.55	1.55	2011
62	CR-MAN	Factor	2	Governance-related_factors	NA	NA	3	3	2	1	3	1	1	1	4	3	8	2	2	3	9	2.00	2	1.55	1.55	2011
63	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	3	2	1	3	1	1	1	4	3	8	2	2	3	9	2.00	2	1.55	1.55	2011
64	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	2	1	3	1	1	1	4	3	8	2	2	3	9	2.00	2	1.55	1.55	2011
65	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	2	1	3	1	1	1	4	3	8	2	2	1	9	2.00	2	1.55	1.55	2011
66	CR-MAN	Factor	5	Institutional_factors	NA	NA	3	4	2	1	3	1	1	1	4	3	8	2	2	3	9	2.00	2	1.55	1.55	2011
67	CR-MAN	Factor	5	Institutional_factors	NA	NA	2	2	2	4	2	2	1	1	4	3	8	2	2	1	9	2.00	2	1.55	1.55	2011
68	CR-MAN	Factor	5	Institutional_factors	NA	NA	4	4	3	4	1	3	2	1	4	3	9	2	2	1	8	2.00	2	1.55	1.55	2011
69	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	2	1	3	1	1	3	4	4	9	2	2	3	8	2.00	2	1.55	1.55	2011
70	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	3	4	4	4	4	2	1	1	2	2	9	2	2	1	8	2.00	2	1.55	1.55	2011
71	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	4	1	4	1	1	4	4	4	10	2	2	3	7	2.00	2	1.55	1.55	2011
72	CR-MAN	Factor	5	Institutional_factors	NA	NA	3	3	1	3	2	2	3	1	4	3	10	2	2	1	7	2.00	2	1.55	1.55	2011
73	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	3	3	3	4	3	2	2	1	4	3	10	2	2	1	7	2.00	2	1.55	1.55	2011
74	CR-MAN	Factor	2	Governance-related_factors	NA	NA	2	3	3	4	3	3	1	4	4	4	11	3	3	1	6	2.00	2	1.55	1.55	2011
75	CR-MAN	Factor	5	Institutional_factors	NA	NA	3	3	3	3	4	2	1	4	4	4	11	3	3	1	6	2.00	2	1.55	1.55	2011
76	CR-MAN	Factor	4	Infrastructure-related_factors	NA	NA	3	4	3	4	4	2	1	3	4	4	11	3	3	1	6	2.00	2	1.55	1.55	2011
77	CR-MAN	Factor	9	Socio-economic_factors	NA	NA	3	2	2	3	3	2	2	4	3	4	11	3	3	2	6	2.00	2	1.55	1.55	2011
78	CR-MAN	Factor	9	Socio-economic_factors	NA	NA	1	1	1	1	1	3	4	1	4	3	11	3	3	1	6	2.00	2	1.55	1.55	2011
79	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	3	3	3	1	3	2	2	3	4	4	11	3	3	3	6	2.00	2	1.55	1.55	2011
80	CR-MAN	Factor	2	Governance-related_factors	NA	NA	3	4	3	2	4	3	1	4	4	4	12	3	3	3	5	2.00	2	1.55	1.55	2011
81	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	2	4	3	4	1	4	4	4	12	3	3	1	5	2.00	2	1.55	1.55	2011
82	CR-MAN	Factor	5	Institutional_factors	NA	NA	4	4	3	4	1	3	4	3	4	4	12	3	3	2	5	2.00	2	1.55	1.55	2011
83	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	4	4	3	4	4	3	1	3	4	4	12	3	3	1	5	2.00	2	1.55	1.55	2011
84	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	2	4	2	2	3	2	4	1	4	3	12	3	3	1	5	2.00	2	1.55	1.55	2011
85	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	3	3	3	4	3	2	4	1	4	3	12	3	3	3	5	2.00	2	1.55	1.55	2011
86	CR-MAN	Factor	9	Socio-economic_factors	NA	NA	1	1	1	1	1	3	4	4	3	4	12	3	3	1	5	2.00	2	1.55	1.55	2011
87	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	2	4	3	1	3	3	3	1	4	3	12	3	3	1	5	2.00	2	1.55	1.55	2011
88	CR-MAN	Factor	6	Natural_factors	NA	NA	4	4	4	2	4	2	3	4	4	4	13	3	3	1	4	2.00	2	1.55	1.55	2011
89	CR-MAN	Factor	5	Institutional_factors	NA	NA	3	3	2	3	4	3	2	3	4	4	13	3	3	2	4	2.00	2	1.55	1.55	2011
90	CR-MAN	Factor	5	Institutional_factors	NA	NA	4	4	3	4	2	3	4	3	4	4	13	3	3	1	4	2.00	2	1.55	1.55	2011
91	CR-MAN	Factor	4	Infrastructure-related_factors	NA	NA	3	3	3	4	3	3	3	3	4	4	13	3	3	3	4	2.00	2	1.55	1.55	2011
92	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	2	NA	3	3	4	1	4	3	13	3	3	3	4	2.00	2	1.55	1.55	2011
93	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	2	4	3	4	3	1	4	3	13	3	3	3	4	2.00	2	1.55	1.55	2011
94	CR-MAN	Factor	8	Socio-cultural_factors	NA	NA	3	3	2	1	3	3	4	1	4	3	13	3	3	1	4	2.00	2	1.55	1.55	2011
95	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	2	4	3	1	3	3	4	1	4	3	13	3	3	1	4	2.00	2	1.55	1.55	2011
96	CR-MAN	Factor	6	Natural_factors	NA	NA	4	4	4	2	4	2	3	4	1	4	13	3	4	1	4	2.00	2	1.55	1.55	2011
97	CR-MAN	Factor	6	Natural_factors	NA	NA	2	4	4	1	4	3	4	1	4	3	14	4	4	3	3	2.00	2	1.55	1.55	2011
98	CR-MAN	Factor	1	Demographic_factors	NA	NA	3	3	3	1	3	3	4	3	4	4	14	4	4	3	3	2.00	2	1.55	1.55	2011
99	CR-MAN	Factor	9	Socio-economic_factors	NA	NA	3	3	3	4	3	4	3	3	4	4	14	4	4	3	3	2.00	2	1.55	1.55	2011
100	CR-MAN	Factor	10	Spatial_factors	NA	NA	3	3	4	1	4	3	4	1	4	3	14	4	4	3	3	2.00	2	1.55	1.55	2011
101	CR-MAN	Factor	9	Socio-economic_factors	NA	NA	3	3	3	1	3	3	4	4	4	4	14	4	4	4	3	2.00	2	1.55	1.55	2011
102	CR-MAN	Factor	8	Socio-cultural_factors	NA	NA	4	4	2	1	3	3	4	3	4	4	14	4	4	4	3	2.00	2	1.55	1.55	2011
103	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	3	3	3	1	3	3	4	3	4	4	14	4	4	1	3	2.00	2	1.55	1.55	2011
104	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	3	4	1	4	3	4	4	4	4	15	4	4	1	2	2.00	2	1.55	1.55	2011
105	CR-MAN	Factor	2	Governance-related_factors	NA	NA	4	4	4	1	4	3	4	3	4	4	15	4	4	3	2	2.00	2	1.55	1.55	2011
106	CR-MAN	Factor	9	Socio-economic_factors	NA	NA	4	4	4	2	4	3	4	3	4	4	15	4	4	4	2	2.00	2	1.55	1.55	2011
107	CR-MAN	Factor	9	Socio-economic_factors	NA	NA	4	4	4	2	4	3	4	4	4	4	15	4	4	4	2	2.00	2	1.55	1.55	2011
108	CR-MAN	Factor	6	Natural_factors	NA	NA	4	4	4	2	4	3	4	4	4	4	15	4	4	4	2	2.00	2	1.55	1.55	2011
109	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	3	3	4	1	4	3	4	3	4	4	15	4	4	1	2	2.00	2	1.55	1.55	2011
110	CR-MAN	Factor	5	Institutional_factors	NA	NA	4	4	3	4	4	4	4	3	4	4	16	4	4	1	1	2.00	2	1.55	1.55	2011
111	CR-CAH	Stress	6	Biomass	6.5	Changed_extent_of_ecosystems	1	1	2	1	2	3	3	NA	NA	NA	8	2	3	2	7	2.00	2	1.55	1.55	2011
112	CR-CAH	Stress	6	Biomass	6.4	Changed_aquatic_biomass	1	1	2	1	2	2	3	NA	NA	NA	7	2	4	3	6	2.00	2	1.55	1.55	2011
113	CR-CAH	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	3	3	3	1	3	2	3	NA	NA	NA	8	2	4	2	5	2.00	2	1.55	1.55	2011
114	CR-CAH	Stress	7	Information	7.2	Changed_interspecific_diversity/species_richness	3	3	3	1	3	2	3	NA	NA	NA	8	2	4	3	5	2.00	2	1.55	1.55	2011
115	CR-CAH	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	3	3	3	2	3	3	2	NA	NA	NA	8	2	2	2	5	2.00	2	1.55	1.55	2011
116	CR-CAH	Stress	4	Lithosphere	4.2	Changed_chemical_soil_parameters	3	3	3	4	3	3	2	NA	NA	NA	8	2	2	2	5	2.00	2	1.55	1.55	2011
117	CR-CAH	Stress	9	Species_specific_key_attributes	9.2	Changed_viable_population_size,_structure_and_natural_population_dynamics	3	3	4	3	4	2	3	NA	NA	NA	9	3	2	1	4	2.00	2	1.55	1.55	2011
118	CR-CAH	Stress	9	Species_specific_key_attributes	9.2	Changed_viable_population_size,_structure_and_natural_population_dynamics	3	3	3	2	3	3	3	NA	NA	NA	9	3	2	1	4	2.00	2	1.55	1.55	2011
119	CR-CAH	Stress	6	Biomass	6.4	Changed_aquatic_biomass	3	3	3	2	3	3	3	NA	NA	NA	9	3	4	2	4	2.00	2	1.55	1.55	2011
120	CR-CAH	Stress	9	Species_specific_key_attributes	9.3	Changed_habitat_quantity_and_quality_(including_abiotic_and_biotic_habitat_components)	3	3	3	2	3	3	3	NA	NA	NA	9	3	2	1	4	2.00	2	1.55	1.55	2011
121	CR-CAH	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	3	3	3	3	3	4	3	NA	NA	NA	10	3	2	1	3	2.00	2	1.55	1.55	2011
122	CR-CAH	Stress	9	Species_specific_key_attributes	9.2	Changed_viable_population_size,_structure_and_natural_population_dynamics	3	3	4	2	4	3	4	NA	NA	NA	11	4	3	1	2	2.00	2	1.55	1.55	2011
123	CR-CAH	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	4	3	3	2	4	3	4	NA	NA	NA	11	4	4	2	2	2.00	2	1.55	1.55	2011
124	CR-CAH	Stress	6	Biomass	6.5	Changed_extent_of_ecosystems	3	3	4	3	4	3	4	NA	NA	NA	11	4	4	1	2	2.00	2	1.55	1.55	2011
125	CR-CAH	Stress	1	Energy_input	1.1	Changed_solar_radiation	4	4	3	3	4	4	3	NA	NA	NA	11	4	2	2	2	2.00	2	1.55	1.55	2011
126	CR-CAH	Stress	8	Network	8.3	Changed_structure_and_composition_of_communities	4	4	4	3	4	3	4	NA	NA	NA	11	4	4	1	2	2.00	2	1.55	1.55	2011
127	CR-CAH	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	4	3	3	2	4	3	4	NA	NA	NA	11	4	4	2	2	2.00	2	1.55	1.55	2011
128	CR-CAH	Stress	3	Hydrosphere	3.1	Changed_water_characteristics	4	4	4	3	4	4	4	NA	NA	NA	12	4	4	2	1	2.00	2	1.55	1.55	2011
129	CR-CAH	Stress	9	Species_specific_key_attributes	9.3	Changed_habitat_quantity_and_quality_(including_abiotic_and_biotic_habitat_components)	3	3	4	2	4	4	4	NA	NA	NA	12	4	2	2	1	2.00	2	1.55	1.55	2011
130	CR-CAH	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	3	3	4	1	4	3	4	4	4	4	15	4	4	2	1	2.00	2	1.55	1.55	2011
131	CR-CAH	Threat	11	Climate_change_and_severe_weather	11.4	Storms_and_flooding	3	3	4	2	4	4	4	3	2	3	15	4	4	2	1	2.00	2	1.55	1.55	2011
132	CR-CAH	Threat	8	Invasive_and_other_problematic_species_and_genes	8.1	Invasive_non-native/alien_species	3	3	4	3	4	4	4	3	2	3	15	4	4	4	1	2.00	2	1.55	1.55	2011
133	CR-CAH	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	4	3	4	2	4	3	4	3	3	3	14	4	4	2	2	2.00	2	1.55	1.55	2011
134	CR-CAH	Threat	11	Climate_change_and_severe_weather	11.4	Storms_and_flooding	4	3	3	2	4	3	4	3	3	3	14	4	4	2	2	2.00	2	1.55	1.55	2011
135	CR-CAH	Threat	9	Pollution	9.3	Agricultural_and_forestry_effluents	3	3	2	3	3	4	4	1	2	2	13	3	2	2	3	2.00	2	1.55	1.55	2011
136	CR-CAH	Threat	8	Invasive_and_other_problematic_species_and_genes	8.2	Problematic_native_species	3	3	4	2	4	3	4	1	2	2	13	3	4	3	3	2.00	2	1.55	1.55	2011
137	CR-CAH	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	3	3	3	1	3	2	3	4	3	4	12	3	3	2	4	2.00	2	1.55	1.55	2011
138	CR-CAH	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	4	2	4	1	4	2	3	3	3	3	12	3	4	2	4	2.00	2	1.55	1.55	2011
139	CR-CAH	Threat	9	Pollution	9.1	Household_sewage_and_urban_waste_water	4	3	1	2	3	3	3	2	2	2	11	3	2	2	5	2.00	2	1.55	1.55	2011
140	CR-CAH	Threat	9	Pollution	9.3	Agricultural_and_forestry_effluents	3	3	2	4	3	3	2	3	2	3	11	3	2	2	5	2.00	2	1.55	1.55	2011
141	CR-CAH	Threat	5	Biological_resource_use	5.4	Fishing_and_harvesting_aquatic_resources	2	3	3	4	3	3	2	3	3	3	11	3	2	3	5	2.00	2	1.55	1.55	2011
142	CR-CAH	Threat	5	Biological_resource_use	5.1	Hunting_and_collecting_terrestrial_animals	3	3	1	4	2	3	1	3	3	3	9	2	2	1	6	2.00	2	1.55	1.55	2011
143	CR-CAH	Threat	5	Biological_resource_use	5.1	Hunting_and_collecting_terrestrial_animals	3	3	1	2	2	3	1	3	3	3	9	2	1	1	6	2.00	2	1.55	1.55	2011
144	CR-CAH	Threat	11	Climate_change_and_severe_weather	11.1	Habitat_shifting_and_alteration	NA	NA	NA	NA	NA	NA	3	3	2	3	6	1	4	4	8	2.00	2	1.55	1.55	2011
145	CR-CAH	Threat	9	Pollution	9.3	Agricultural_and_forestry_effluents	3	4	3	2	4	3	4	2	2	2	13	3	2	1	3	2.00	2	1.55	1.55	2011
146	CR-CAH	Threat	5	Biological_resource_use	5.3	Logging_and_wood_harvesting	4	3	4	4	4	4	2	1	2	2	12	3	2	1	4	2.00	2	1.55	1.55	2011
147	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	NA	1	4	2	3	3	2	1	2	2	2	8	2	1	1	6	2.00	2	1.55	1.55	2011
148	CR-CAH	Factor	4	Infrastructure-related_factors	NA	NA	4	3	2	3	3	3	2	2	2	2	10	2	2	2	5	2.00	2	1.55	1.55	2011
149	CR-CAH	Factor	4	Infrastructure-related_factors	NA	NA	3	3	4	4	4	3	1	2	2	2	10	2	1	1	5	2.00	2	1.55	1.55	2011
150	CR-CAH	Factor	8	Socio-cultural_factors	NA	NA	4	4	2	4	3	3	2	3	3	3	11	3	2	3	4	2.00	2	1.55	1.55	2011
151	CR-CAH	Factor	2	Governance-related_factors	NA	NA	4	3	1	4	3	3	1	4	3	4	11	3	3	1	4	2.00	2	1.55	1.55	2011
152	CR-CAH	Factor	2	Governance-related_factors	NA	NA	4	3	1	4	3	3	1	4	3	4	11	3	3	1	4	2.00	2	1.55	1.55	2011
153	CR-CAH	Factor	4	Infrastructure-related_factors	NA	NA	1	3	2	2	2	3	3	3	2	3	11	3	2	1	4	2.00	2	1.55	1.55	2011
154	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	NA	3	3	3	3	3	3	3	2	2	2	11	3	3	3	4	2.00	2	1.55	1.55	2011
